dhaaira_number,islands,dhaaira,name,party,facebook,twitter,website,education,talents,chairman_of_the_committee,introduction,past_accomplishments,promises,campaign_manager_number,campaign_manager,profile_manager,profile_manager_number
A01,ތުރާކުނު، އުލިގަން، ހޯރަފުށި,ހޯރަފުށި ދާއިރާ,"އަޙްމަދު ސަލީމް
",އެމް.ޑީ.ޕީ.,facebook.com/SalleHoarafushi,@SalleHoarafushi,,,,,,,,,,,
A02,މޮޅަދޫ،އިހަވަންދޫ،މާރަނދޫ,އިހަވަންދޫ ދާއިރާ,މުޙައްމަދު ޝިފާޢު,އެމް.ޑީ.ޕީ.,facebook.com/HA.Ihavandhoo,@mshifau,,,,,,,,,,,
A03,ތަކަންދޫ،އުތީމު،މުރައިދޫ،ބާރައް,ބާރަށު ދާއިރާ,އަޙްމަދު ޢަބްދުﷲ,އެމް.ޑީ.ޕީ.,facebook.com/AhmedAbdhullaa,@ahmedabdulla2a,,,,,,,,,,,
A04,ދިއްދޫ,ދިއްދޫ ދާއިރާ,ޢަބްދުﷲ ވަޙީދު,އެމް.ޑީ.ޕީ.,facebook.com/profile.php?id=100016537000809,@waddxy,,,,,,,,,,,
A05,"ވަށަފަރު،ކެލާ,ފިލައްދޫ",ކެލާ ދާއިރާ,އިބްރާހީމް ޝަރީފް,އެމް.ޑީ.ޕީ.,facebook.com/kelaa1,@kelaaibrey,,,,,,,,,,,
B01,ހަނިމާދޫ،ފިނޭ،ނައިވާދޫ،ހިރިމަރަދޫ,ހަނިމާދޫ ދާއިރާ,ޢަބްދުލްޣަފޫރު މޫސާ,އެމް.ޑީ.ޕީ.,n/a,@GapoGafoor,,,,,,,,,,,
B02,ނޮޅިވަރަށްފަރު،ނޮޅިވަރަމް,ނޮޅިވަރަމް ދާއިރާ,މުޙައްމަދު ނަޝީދު ޢަބްދުﷲ,މިނިވަން,facebook.com/mohamed.nasheedabdulla.9,@MNA_MosTaaA,,,,,,,,,,,
B03,ވަައިކަރަދޫ،ނެއްލައިދޫ،ކުރިނބީ,ވައިކަރަދޫ ދާއިރާ,ޙުސައިން ޒިޔާދު,އެމް.ޑީ.ޕީ.,facebook.com/MpHussainZiyadFittey,@FitteyZ,,,,,,,,,,,
B04,ކުޅުއްދުފުށި,ކުޅުދުއްފުށި އުތުރު ދާއިރާ,ޔާސިރު ޢަބްދުއްލަޠީފް,އެމް.ޑީ.ޕީ.,facebook.com/ylatheef,@YasirLathyf,,,,,,,,,,,
B05,ކުޅުއްދުފުށި,ކުޅުދުއްފުށި ދެކުނު ދާއިރާ,ޖަމްޝީދު މުޙައްމަދު,އެމް.ޑީ.ޕީ.,facebook.com/jamsheed.mohamed.37,n/a,,,,,,,,,,,
B06,މަކުނުދޫ،ކުމުންދޫ،ނޭކުރެންދޫ,މަކުނުދޫ ދާއިރާ,މުޙައްމަދު ރާޢީ,އެމް.ޑީ.ޕީ.,facebook.com/mohamed.raee.1,@Mraee12,,,,,,,,,,,
C01,ކަނޑިތީމު،ގޮއިދޫ،ބިލެތްފަހި،ފޭދޫ،ނޫމަރާ,ކަނޑިތީމު ދާއިރާ,ޢަބްދުﷲ ޝަހީމް ޢަބްދުލްޙަކީމް,އެމް.ޑީ.ޕީ.,facebook.com/hymshahym,@shaheeym,,,,,,,,,,,
C02,މިލަންދޫ،ފީވައް،ނަރުދޫ,މިލަންދޫ ދާއިރާ,ޢަލީ ރިޟާ,އެމް.ޑީ.ޕީ.,facebook.com/mpaliriza,@AyyaRiza,,,,,,,,,,,
C03,ކޮމަންޑޫ،ފޯކޮއިދޫ،މަރޮށި,ކޮމަންޑޫ ދާއިރާ,މުޙައްމަދު ރާޝިދު,އެމް.ޑީ.ޕީ.,n/a,n/a,,,,,,,,,,,
C04,ފުނާދޫ،ޅައިމަގު،މާއުނގޫދޫ,ފުނަދޫ ދާއިރާ,މުޙައްމަދު ޝާހިދު,އެމް.ޑީ.ޕީ.,n/a,n/a,,,,,,,,,,,
D01,ކެނދިކުޅުދޫ،ހެނބަދޫ،މާޅެންދޫ،ކުޑަފަރި,ކެނދިކުޅުދޫ ދާއިރާ,އަޙްމަދު ޢީސާ,އެމް.ޑީ.ޕީ.,n/a,n/a,,,,,,,,,,,
D02,މަނަދޫ،މާފަރު،ލަންދޫ,މަނަދޫ ދާއިރާ,އަޙްމަދު ހާރޫން,އެމް.ޑީ.ޕީ.,n/a,n/a,,,,,,,,,,,
D03,ވެލިދޫ،ފޮއްދޫ،ޅޮހި,ވެލިދޫ ދާއިރާ,މުޙައްމަދު ޢަބްދުﷲ ޝަފީޤް,އެމް.ޑީ.ޕީ.,facebook.com/mashafeeg,@mashafeeg,,,,,,,,,,,
D04,ހޮޅުދޫ،މިލަދޫ،މަގޫދޫ,ހޮޅުދޫ ދާއިރާ,ޔޫނުސް ޢަލީ,އެމް.ޑީ.ޕީ.,acebook.com/yoonus.ali.3950,@yoonusali_,,,,,,,,,,,
E01,އަލިފުށި،ވާދޫ،ރަސްގެތީމު،އަނގޮޅިތީމު,އަލިފުށި ދާއިރާ,މުޙައްމަދު ރަޝީދު ޙުސައިން,އެމް.ޑީ.ޕީ.,n/a,n/a,,,,,,,,,,,
E02,އުނގޫފާރު،ހުޅުދުއްފާރު،މާކުރަތު,އުނގޫފާރު ދާއިރާ,މުޙައްމަދު ވަޙީދު,ދަ ޑިމޮކްރެޓްސް,n/a,n/a,,,,,,,,,,,
